日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,index_name,index_code
2023-01-04,3110.55,3100.0,3115.69,3088.81,89562394,3566261778000.42,0.87,0.0,0.0,4.56,SSE Composite,0
2023-01-05,3042.59,3033.28,3052.06,3032.57,64006555,1983857590607.11,0.64,-2.15,-66.72,2.14,SSE Composite,0
2023-01-06,2998.47,2996.41,3016.62,2981.25,52336265,2021670900485.02,1.19,-1.22,-36.87,3.77,SSE Composite,0
2023-01-09,2948.3,2957.94,2962.55,2921.5,73285368,2507988496809.93,1.41,-1.28,-38.47,4.22,SSE Composite,0
2023-01-10,2960.31,2940.67,2963.0,2919.17,72908470,2996471180966.43,1.5,-0.58,-17.28,4.16,SSE Composite,0
2023-01-11,3024.84,3025.24,3029.34,3011.84,67346019,2285435947836.67,0.58,2.88,84.57,0.78,SSE Composite,0
2023-01-12,3072.42,3059.05,3082.38,3058.29,90462455,2673511903863.76,0.79,1.12,33.81,1.47,SSE Composite,0
2023-01-13,3104.58,3077.13,3124.44,3075.99,48020157,1286849519353.49,1.58,0.59,18.08,4.73,SSE Composite,0
2023-01-16,3131.87,3121.66,3136.44,3112.06,59387933,1847856691754.93,0.78,1.45,44.53,3.83,SSE Composite,0
2023-01-17,3204.16,3190.67,3208.43,3174.95,33837845,1289621191107.07,1.05,2.21,69.01,4.25,SSE Composite,0
2023-01-18,3200.39,3211.21,3218.49,3199.8,58091694,1714398577324.58,0.58,0.64,20.54,2.81,SSE Composite,0
2023-01-19,3258.51,3267.06,3277.25,3256.08,47723075,1290709634796.65,0.65,1.74,55.86,2.27,SSE Composite,0
2023-01-20,3257.03,3242.27,3278.43,3210.46,111293288,4020474331261.35,2.12,-0.76,-24.79,3.43,SSE Composite,0
2023-01-23,3202.68,3209.03,3213.35,3197.33,31603290,1057972092169.78,0.5,-1.03,-33.24,2.63,SSE Composite,0
2023-01-24,3154.32,3169.62,3196.91,3133.84,51773377,1795725142601.75,2.01,-1.23,-39.4,2.18,SSE Composite,0
2023-01-25,3162.1,3181.12,3182.13,3145.66,50521699,1796628763502.96,1.16,0.36,11.5,2.07,SSE Composite,0
2023-01-26,3078.64,3081.05,3114.4,3058.87,91825763,3780509043286.69,1.82,-3.15,-100.07,1.21,SSE Composite,0
2023-01-27,3127.75,3130.33,3143.7,3105.07,34684770,1598926228642.98,1.24,1.6,49.29,2.88,SSE Composite,0
2023-01-30,3123.28,3112.1,3123.61,3107.28,65782242,2013633767980.36,0.53,-0.58,-18.23,2.84,SSE Composite,0
2023-01-31,3132.08,3143.27,3164.77,3127.02,68293605,3133424067513.52,1.21,1.0,31.17,3.16,SSE Composite,0
2023-02-01,3106.41,3091.09,3127.57,3061.76,104201729,3091685521859.11,2.15,-1.66,-52.18,1.02,SSE Composite,0
