日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,sector
2023-01-04,3196.75,3200.0,3202.99,3185.68,36885340,1426211594291.75,0.54,0.0,0.0,4.71,Banking
2023-01-05,3179.87,3195.33,3200.75,3176.34,115948567,5257459680711.15,0.77,-0.15,-4.67,2.81,Banking
2023-01-06,3210.15,3220.8,3226.04,3187.76,77770787,2269940857030.84,1.2,0.8,25.47,4.78,Banking
2023-01-09,3268.46,3280.31,3284.96,3247.45,41080216,1641955312861.48,1.16,1.85,59.51,2.91,Banking
2023-01-10,3262.71,3271.75,3274.4,3251.86,73171202,3029145276856.04,0.69,-0.26,-8.56,2.27,Banking
2023-01-11,3262.81,3263.21,3283.85,3253.32,39315274,1402940620318.48,0.94,-0.26,-8.54,4.32,Banking
2023-01-12,3328.51,3325.71,3344.59,3298.26,113852089,4887347574650.86,1.4,1.92,62.49,2.72,Banking
2023-01-13,3375.74,3357.0,3394.21,3324.89,111628335,4075301369357.75,2.08,0.94,31.29,2.62,Banking
2023-01-16,3326.76,3338.76,3359.87,3314.52,85669129,3298612366146.63,1.37,-0.54,-18.24,2.71,Banking
2023-01-17,3373.07,3361.16,3374.99,3352.3,78674569,2129115648100.76,0.68,0.67,22.41,4.31,Banking
2023-01-18,3340.57,3343.14,3377.19,3326.79,158393668,6800282733774.27,1.52,-0.54,-18.02,4.24,Banking
2023-01-19,3324.54,3325.13,3334.83,3318.36,65649672,2756917108963.4,0.5,-0.54,-18.02,2.32,Banking
2023-01-20,3343.55,3335.45,3364.37,3334.72,36363022,1002898582439.28,0.89,0.31,10.32,2.0,Banking
2023-01-23,3246.36,3259.54,3259.89,3245.97,82205844,2834338908365.86,0.43,-2.28,-75.91,2.71,Banking
2023-01-24,3197.11,3192.72,3212.45,3163.3,186328820,8836115131041.91,1.55,-2.05,-66.82,3.08,Banking
2023-01-25,3173.72,3171.81,3181.4,3171.6,39531969,1372391951642.65,0.31,-0.65,-20.9,1.57,Banking
2023-01-26,3139.45,3133.9,3152.12,3123.52,54803719,1977455776841.65,0.92,-1.2,-37.92,4.07,Banking
2023-01-27,3149.62,3146.34,3157.88,3138.9,80859449,3655769989180.29,0.6,0.4,12.44,2.69,Banking
2023-01-30,3140.2,3112.69,3143.8,3091.12,63913909,2590418211977.07,1.7,-1.07,-33.65,2.0,Banking
